author_id,lexical_diversity,repeated_ratio,link_ratio,sentiment_polarity,comments_per_day,burstiness_hours,hour_entropy,segment,anomaly_score,anomaly_score_val
260600,0.634,0.021,0.0,-0.001,0.266,129.266,2.216,0,1,0.096
262946,0.923,0.0,0.25,0.0,0.017,2929.409,2.0,3,-1,-0.013
268194,0.421,0.0,0.0,0.031,0.847,39.14,3.753,0,1,0.072
270806,0.42,0.0,0.0,0.004,0.172,300.43,3.297,0,1,0.096
270977,0.651,0.012,0.0,0.064,0.228,148.654,4.122,0,1,0.081
272745,0.659,0.042,0.0,0.002,0.136,379.193,3.44,0,1,0.101
276174,0.675,0.033,0.008,0.043,0.337,131.246,3.945,0,1,0.071
280112,0.759,0.0,0.0,-0.015,0.1,295.58,3.517,0,1,0.14
289276,0.725,0.0,0.029,-0.023,0.114,518.857,2.683,0,1,0.122
291876,0.917,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0.166
294848,0.678,0.032,0.016,0.0,0.175,157.933,3.605,0,1,0.089
295241,0.589,0.009,0.005,0.013,0.587,50.179,3.916,0,1,0.103
296027,0.659,0.0,0.014,0.036,0.207,246.335,3.817,0,1,0.114
299203,0.917,0.0,0.0,0.052,0.294,149.679,1.157,1,1,0.136
300451,0.51,0.021,0.028,0.041,0.438,76.582,3.939,0,1,0.063
300657,0.549,0.041,0.007,0.031,0.411,174.421,3.703,0,1,0.075
301390,0.62,0.0,0.0,0.025,0.161,206.028,3.38,0,1,0.142
301769,0.813,0.0,0.0,-0.026,0.052,666.636,2.953,0,1,0.143
303696,0.62,0.027,0.0,0.021,0.21,251.088,3.715,0,1,0.098
307041,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0.18
307273,0.879,0.0,0.0,-0.062,0.017,1333.065,1.5,3,1,0.111
312574,0.34,0.07,0.0,0.011,1.948,24.864,3.976,0,-1,-0.017
315750,0.673,0.0,0.0,0.015,0.177,189.817,3.813,0,1,0.125
317770,0.739,0.0,0.0,0.013,0.109,336.716,2.984,0,1,0.152
340334,0.47,0.017,0.004,0.02,0.744,65.059,3.028,0,1,0.092
349719,0.65,0.0,0.0,0.001,0.198,370.109,3.25,0,1,0.142
357685,0.748,0.0,0.0,0.036,0.149,268.526,3.535,0,1,0.134
360658,0.484,0.019,0.0,0.007,0.492,114.335,3.424,0,1,0.098
362147,0.718,0.0,0.0,0.008,0.12,265.534,3.744,0,1,0.13
383886,0.546,0.046,0.0,0.016,0.773,71.837,3.791,0,1,0.08
385299,0.812,0.0,0.0,-0.1,1.167,53.574,2.128,1,1,0.097
387586,0.958,0.0,0.0,0.0,0.017,2434.55,1.922,3,1,0.08
406351,0.367,0.003,0.0,0.027,1.75,28.849,3.902,0,1,0.033
407576,0.615,0.0,0.0,0.007,0.294,153.804,3.236,0,1,0.135
418033,0.512,0.0,0.0,0.001,0.639,51.634,3.415,0,1,0.111
421644,0.651,0.0,0.0,-0.021,0.349,97.828,3.395,0,1,0.128
422084,0.565,0.0,0.0,0.009,0.27,115.372,3.504,0,1,0.13
443585,0.639,0.0,0.0,0.016,0.264,126.075,3.689,0,1,0.13
447004,0.593,0.0,0.0,0.0,0.252,110.602,3.287,0,1,0.133
452690,0.46,0.016,0.0,0.012,1.939,17.275,3.076,0,1,0.05
11436,0.655,0.071,0.014,0.0,0.196,204.543,3.929,0,1,0.049
11606,0.416,0.032,0.082,-0.001,0.602,63.394,3.907,0,1,0.017
12083,0.758,0.0,0.0,-0.049,0.045,926.406,1.918,3,1,0.126
12961,0.742,0.095,0.0,-0.008,0.063,399.039,2.974,0,1,0.054
16680,0.966,0.0,0.25,-0.188,0.052,625.598,1.5,1,1,0.027
17127,0.472,0.0,0.0,0.018,0.305,114.816,3.913,0,1,0.1
17908,0.454,0.021,0.072,0.039,0.595,57.445,3.671,0,1,0.029
22146,0.439,0.0,0.01,0.014,0.416,156.808,3.798,0,1,0.085
22197,0.87,0.0,0.0,-0.051,0.033,939.361,2.197,3,1,0.133
23499,0.649,0.0,0.03,0.013,0.184,260.723,2.575,0,1,0.114
23711,0.711,0.026,0.0,-0.005,0.114,197.709,3.567,0,1,0.107
24040,1.0,0.0,0.0,-0.097,0.019,2732.35,0.0,3,-1,-0.028
24054,0.388,0.01,0.007,0.01,0.839,62.842,3.39,0,1,0.067
25272,0.483,0.0,0.027,0.026,0.429,141.631,3.561,0,1,0.094
25356,0.472,0.004,0.004,0.024,0.68,56.189,3.989,0,1,0.091
26293,0.762,0.0,0.0,0.022,0.037,965.483,2.419,3,1,0.133
27750,0.565,0.0,0.0,0.005,0.288,179.089,3.749,0,1,0.116
28957,0.458,0.022,0.014,0.014,1.424,30.538,3.914,0,1,0.053
30667,0.791,0.103,0.0,0.012,0.209,184.078,3.216,0,1,0.053
